Unnamed: 0;link;Year;Zhila;Kitchen;Full_square;Отопление;Парковка;Построен;Район;Срок сдачи;Тип дома;Тип жилья;Тип перекрытий;Price;Этаж;Musor_dummy;lift_dummy;avaria;metro_time;Transport;Etazh;Etazh_all;share_etazh;Rooms;Owner;raion_autozavod;raion_zheleznodor;raion_kirovskii;raion_krasnoglinskii;raion_kuibish;raion_leninskii;raion_okt;raion_prom;raion_samar;raion_ussr;Old;old_ap;old_pent;new;Wood;zhelezobet;mix;gaz_autonomic;gaz_central;warm_autonomic_cot;warm_individual;warm_kotel;warm_pech;warm_central;tr_walk;tr_far;tr_tr;room1;room2;room3;room4;room5;room_kv;room_mn;room_st;park_naz;park_no_info;park_podzem;price_m2;kit_sh
10;https://samara.cian.ru/sale/flat/244878888/;2015.0;15.0;8.0;28.0;Котел/Квартирное отопление;Нет инфо;;р-н Красноглинский;;Кирпичный;Вторичка;Железобетонные;1320000.0;3 из 3;0;0;0;;Далеко;3.0;3.0;1.0;1;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;47142.857142857145;0.2857142857142857
11;https://samara.cian.ru/sale/flat/240651689/;1961.0;;5.0;33.0;Центральное;Нет инфо;1961.0;р-н Кировский;;Кирпичный;Вторичка;Железобетонные;1720000.0;2 из 5;1;0;0;4;На транспорте близко;2.0;5.0;0.4;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;52121.21212121212;0.15151515151515152
12;https://samara.cian.ru/sale/flat/245244897/;;15.0;;21.0;Нет инфо;Нет инфо;;р-н Промышленный;4 кв. 2020;Нет инфо;Новостройка;Нет инфо;1029000.0;2 из 5;0;0;0;6;В пешей доступности;2.0;5.0;0.4;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;49000.0;
13;https://samara.cian.ru/sale/flat/244830528/;2015.0;25.0;25.0;60.0;Автономная котельная;Нет инфо;;р-н Ленинский;;Кирпичный;Вторичка;Железобетонные;5300000.0;8 из 8;0;1;0;;Далеко;8.0;8.0;1.0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;88333.33333333333;0.4166666666666667
14;https://samara.cian.ru/sale/flat/243655193/;;20.0;10.0;45.0;Нет инфо;Нет инфо;;р-н Советский;;Кирпичный;Вторичка;Нет инфо;3199000.0;16 из 17;0;1;0;;Далеко;16.0;17.0;0.9411764705882353;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;71088.88888888889;0.2222222222222222
15;https://samara.cian.ru/sale/flat/232423831/;2016.0;18.0;11.0;47.0;Центральное;Нет инфо;2016.0;р-н Октябрьский;;Монолитный;Вторичка;Железобетонные;4200000.0;6 из 25;0;1;0;2;В пешей доступности;6.0;25.0;0.24;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;89361.70212765958;0.23404255319148937
16;https://samara.cian.ru/sale/flat/220029983/;1984.0;17.0;9.0;33.0;Центральное;Нет инфо;;р-н Промышленный;;Панельный;Вторичка;Железобетонные;2480000.0;9 из 12;0;1;0;;Далеко;9.0;12.0;0.75;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;75151.51515151515;0.2727272727272727
17;https://samara.cian.ru/sale/flat/244500689/;;15.0;10.0;36.0;Нет инфо;Нет инфо;;р-н Октябрьский;4 кв. 2021;Нет инфо;Новостройка;Нет инфо;2660000.0;6 из 26;0;0;0;10;В пешей доступности;6.0;26.0;0.23076923076923078;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;73888.88888888889;0.2777777777777778
18;https://samara.cian.ru/sale/flat/204045908/;;;;41.0;Нет инфо;Нет инфо;;р-н Куйбышевский;;Нет инфо;Вторичка;Нет инфо;2499000.0;14 из 16;0;1;0;;Далеко;14.0;16.0;0.875;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;60951.21951219512;
19;https://samara.cian.ru/sale/flat/205277945/;;;;45.0;Нет инфо;Нет инфо;;р-н Самарский;;Нет инфо;Вторичка;Нет инфо;5050000.0;7 из 8;0;1;0;;Далеко;7.0;8.0;0.875;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;112222.22222222222;
20;https://samara.cian.ru/sale/flat/237722667/;;9.0;15.0;40.0;Нет инфо;Нет инфо;;р-н Кировский;4 кв. 2021;Нет инфо;Новостройка;Нет инфо;2292537.0;5 из 25;0;0;0;11;На транспорте близко;5.0;25.0;0.2;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;57313.425;0.375
21;https://samara.cian.ru/sale/flat/225592177/;;;;46.0;Нет инфо;Нет инфо;;р-н Советский;4 кв. 2022;Нет инфо;Новостройка;Нет инфо;2290000.0;27 из 32;0;0;0;2;На транспорте близко;27.0;32.0;0.84375;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;49782.608695652176;
22;https://samara.cian.ru/sale/flat/245431879/;2016.0;15.0;11.0;42.0;Центральное;Нет инфо;;р-н Октябрьский;;Панельный;Вторичка;Железобетонные;3550000.0;16 из 18;0;1;0;;Далеко;16.0;18.0;0.8888888888888888;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;84523.80952380953;0.2619047619047619
23;https://samara.cian.ru/sale/flat/244266466/;;17.0;6.0;30.0;Нет инфо;Нет инфо;;р-н Красноглинский;;Панельный;Вторичка;Нет инфо;1285000.0;2 из 5;0;0;0;;Далеко;2.0;5.0;0.4;1;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;42833.333333333336;0.2
24;https://samara.cian.ru/sale/flat/244131340/;;20.0;10.0;37.0;Нет инфо;Нет инфо;;р-н Промышленный;;Кирпичный;Вторичка;Нет инфо;3409000.0;3 из 9;0;1;0;;Далеко;3.0;9.0;0.3333333333333333;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;92135.13513513513;0.2702702702702703
25;https://samara.cian.ru/sale/flat/245175863/;;20.0;20.0;52.0;Нет инфо;Нет инфо;;р-н Самарский;;Кирпичный;Вторичка;Нет инфо;5600000.0;4 из 9;0;1;0;;Далеко;4.0;9.0;0.4444444444444444;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;107692.30769230769;0.38461538461538464
26;https://samara.cian.ru/sale/flat/237722648/;;21.0;11.0;45.0;Нет инфо;Нет инфо;;р-н Кировский;4 кв. 2021;Нет инфо;Новостройка;Нет инфо;2526414.0;7 из 25;0;0;0;11;На транспорте близко;7.0;25.0;0.28;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;56142.53333333333;0.24444444444444444
27;https://samara.cian.ru/sale/flat/238199242/;;;;47.0;Нет инфо;Нет инфо;;р-н Советский;4 кв. 2022;Нет инфо;Новостройка;Нет инфо;2460000.0;19 из 32;0;0;0;2;На транспорте близко;19.0;32.0;0.59375;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;52340.425531914894;
28;https://samara.cian.ru/sale/flat/228133915/;1888.0;23.0;5.0;38.0;Центральное;Нет инфо;;р-н Самарский;;Кирпичный;Вторичка;Деревянные;2100000.0;1 из 2;0;0;1;;Далеко;1.0;2.0;0.5;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;55263.15789473684;0.13157894736842105
29;https://samara.cian.ru/sale/flat/241090728/;2014.0;15.0;9.0;29.0;Котел/Квартирное отопление;Нет инфо;;р-н Красноглинский;;Кирпичный;Вторичка;Железобетонные;1460000.0;3 из 3;0;0;0;;Далеко;3.0;3.0;1.0;1;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;50344.8275862069;0.3103448275862069
