,Unnamed: 0,link,Год постройки,Жилая,Кухня,Общая,Отопление,Парковка,Построен,Район,Срок сдачи,Тип дома,Тип жилья,Тип перекрытий,Цена,Этаж,Мусоропровод_dummy,Лифт_dummy,Авариное,metro_time,Транспорт,Этаж1,Этажей,Доля,Комната,Собственник,Район_<р-н Автозаводский>,Район_<р-н Железнодорожный>,Район_<р-н Кировский>,Район_<р-н Красноглинский>,Район_<р-н Куйбышевский>,Район_<р-н Ленинский>,Район_<р-н Октябрьский>,Район_<р-н Промышленный>,Район_<р-н Самарский>,Район_<р-н Советский>,Тип жилья_<Вторичка>,Тип жилья_<Вторичка Апартаменты>,Тип жилья_<Вторичка Пентхаус>,Тип жилья_<Новостройка>,Тип перекрытий_<Деревянные>,Тип перекрытий_<Железобетонные>,Тип перекрытий_<Смешанные>,Газоснабжение_<Автономное>,Газоснабжение_<Центральное>,Отопление_<Автономная котельная>,Отопление_<Индивидуальный тепловой пункт>,Отопление_<Котел/Квартирное отопление>,Отопление_<Печь>,Отопление_<Центральное>,Транспорт_<В пешей доступности>,Транспорт_<Далеко>,Транспорт_<На транспорте близко>,Комната_<1>,Комната_<2>,Комната_<3>,Комната_<4>,Комната_<5>,Комната_<К>,Комната_<М>,Комната_<С>,Парковка_<Наземная>,Парковка_<Нет инфо>,Парковка_<Подземная>
13,13,https://samara.cian.ru/sale/flat/244830528/,2015.0,25.0,25.0,60.0,Автономная котельная,Нет инфо,,р-н Ленинский,,Кирпичный,Вторичка,Железобетонные,5300000.0,8 из 8,0,1,0,,Далеко,8.0,8.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,14,https://samara.cian.ru/sale/flat/243655193/,,20.0,10.0,45.0,Нет инфо,Нет инфо,,р-н Советский,,Кирпичный,Вторичка,Нет инфо,3199000.0,16 из 17,0,1,0,,Далеко,16.0,17.0,0.9411764705882353,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,15,https://samara.cian.ru/sale/flat/232423831/,2016.0,18.0,11.0,47.0,Центральное,Нет инфо,2016.0,р-н Октябрьский,,Монолитный,Вторичка,Железобетонные,4200000.0,6 из 25,0,1,0,2,В пешей доступности,6.0,25.0,0.24,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,16,https://samara.cian.ru/sale/flat/220029983/,1984.0,17.0,9.0,33.0,Центральное,Нет инфо,,р-н Промышленный,,Панельный,Вторичка,Железобетонные,2480000.0,9 из 12,0,1,0,,Далеко,9.0,12.0,0.75,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,17,https://samara.cian.ru/sale/flat/244500689/,,15.0,10.0,36.0,Нет инфо,Нет инфо,,р-н Октябрьский,4 кв. 2021,Нет инфо,Новостройка,Нет инфо,2660000.0,6 из 26,0,0,0,10,В пешей доступности,6.0,26.0,0.23076923076923078,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,18,https://samara.cian.ru/sale/flat/204045908/,,,,41.0,Нет инфо,Нет инфо,,р-н Куйбышевский,,Нет инфо,Вторичка,Нет инфо,2499000.0,14 из 16,0,1,0,,Далеко,14.0,16.0,0.875,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,19,https://samara.cian.ru/sale/flat/205277945/,,,,45.0,Нет инфо,Нет инфо,,р-н Самарский,,Нет инфо,Вторичка,Нет инфо,5050000.0,7 из 8,0,1,0,,Далеко,7.0,8.0,0.875,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,20,https://samara.cian.ru/sale/flat/237722667/,,9.0,15.0,40.0,Нет инфо,Нет инфо,,р-н Кировский,4 кв. 2021,Нет инфо,Новостройка,Нет инфо,2292537.0,5 из 25,0,0,0,11,На транспорте близко,5.0,25.0,0.2,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,21,https://samara.cian.ru/sale/flat/225592177/,,,,46.0,Нет инфо,Нет инфо,,р-н Советский,4 кв. 2022,Нет инфо,Новостройка,Нет инфо,2290000.0,27 из 32,0,0,0,2,На транспорте близко,27.0,32.0,0.84375,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,22,https://samara.cian.ru/sale/flat/245431879/,2016.0,15.0,11.0,42.0,Центральное,Нет инфо,,р-н Октябрьский,,Панельный,Вторичка,Железобетонные,3550000.0,16 из 18,0,1,0,,Далеко,16.0,18.0,0.8888888888888888,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,23,https://samara.cian.ru/sale/flat/244266466/,,17.0,6.0,30.0,Нет инфо,Нет инфо,,р-н Красноглинский,,Панельный,Вторичка,Нет инфо,1285000.0,2 из 5,0,0,0,,Далеко,2.0,5.0,0.4,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,24,https://samara.cian.ru/sale/flat/244131340/,,20.0,10.0,37.0,Нет инфо,Нет инфо,,р-н Промышленный,,Кирпичный,Вторичка,Нет инфо,3409000.0,3 из 9,0,1,0,,Далеко,3.0,9.0,0.3333333333333333,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,25,https://samara.cian.ru/sale/flat/245175863/,,20.0,20.0,52.0,Нет инфо,Нет инфо,,р-н Самарский,,Кирпичный,Вторичка,Нет инфо,5600000.0,4 из 9,0,1,0,,Далеко,4.0,9.0,0.4444444444444444,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,26,https://samara.cian.ru/sale/flat/237722648/,,21.0,11.0,45.0,Нет инфо,Нет инфо,,р-н Кировский,4 кв. 2021,Нет инфо,Новостройка,Нет инфо,2526414.0,7 из 25,0,0,0,11,На транспорте близко,7.0,25.0,0.28,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,27,https://samara.cian.ru/sale/flat/238199242/,,,,47.0,Нет инфо,Нет инфо,,р-н Советский,4 кв. 2022,Нет инфо,Новостройка,Нет инфо,2460000.0,19 из 32,0,0,0,2,На транспорте близко,19.0,32.0,0.59375,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
